vendor_id,vendor_name,created_date,primary_account,bank_account_ref,status
VEN-1123,Cascade IT Partners,2022-01-20,6210 · Software,BA-13099855,Active
VEN-1124,Cedar Cloud Tools,2022-12-24,6600 · Marketing,BA-80901507,Active
VEN-1125,Cinderpath & Finch,2022-10-09,6100 · Facilities,BA-29676659,Active
VEN-1126,Cinderpath & Sons,2021-08-15,6210 · Software,BA-82903368,Active
VEN-1127,Cinderpath Advisory,2023-08-05,6210 · Software,BA-80881649,Active
VEN-1128,Cinderpath Co,2022-11-29,6500 · Professional,BA-96290869,Active
VEN-1129,Cinderpath Consulting,2021-04-06,6600 · Marketing,BA-22215229,Active
VEN-1130,Cinderpath Contractors,2021-08-09,6400 · Travel,BA-45046288,Active
VEN-1131,Cinderpath Distribution,2022-06-07,6800 · Events,BA-59217612,Active
VEN-1132,Cinderpath Group,2023-05-15,6300 · Contractors,BA-57740731,Active
VEN-1133,Cinderpath Holdings,2021-07-06,6800 · Events,BA-39902737,Active
VEN-1134,Cinderpath Logistics,2022-06-19,6900 · Miscellaneous,BA-82687908,Active
VEN-1135,Cinderpath Materials,2021-10-05,6100 · Facilities,BA-77470852,Active
VEN-1136,Cinderpath Partners,2022-10-12,6100 · Facilities,BA-95421789,Active
VEN-1137,Cinderpath Services,2022-11-30,6400 · Travel,BA-92306098,Active
VEN-1138,Cinderpath Solutions,2021-04-01,6210 · Software,BA-36192056,Active
VEN-1139,Cinderpath Supply,2021-06-27,6710 · Equipment,BA-42130069,Active
VEN-1140,Cinderpath Supply Co,2021-04-21,6300 · Contractors,BA-63778945,Active
VEN-1141,Cinderpath Trade Ltd,2021-11-12,6900 · Miscellaneous,BA-40432459,Active
VEN-1142,Cinderpath Traders,2023-04-20,6100 · Facilities,BA-79476293,Active
VEN-1143,Cinderpath Vendors,2022-05-14,6300 · Contractors,BA-57722796,Active
VEN-1144,Cinderpath Ventures,2021-07-31,6500 · Professional,BA-13889649,Active
VEN-1145,Cloverfield & Finch,2024-03-02,6400 · Travel,BA-47502921,Active
VEN-1146,Cloverfield & Sons,2022-02-24,6900 · Miscellaneous,BA-44785794,Active
VEN-1147,Cloverfield Advisory,2023-03-22,6500 · Professional,BA-91220385,Active
VEN-1148,Cloverfield Co,2022-11-17,6710 · Equipment,BA-70025882,Active
VEN-1149,Cloverfield Consulting,2021-03-25,6000 · Office,BA-56911734,Active
VEN-1150,Cloverfield Contractors,2022-07-19,6000 · Office,BA-20809644,Active
VEN-1151,Cloverfield Distribution,2023-04-12,6400 · Travel,BA-23711300,Active
VEN-1152,Cloverfield Group,2023-02-15,6600 · Marketing,BA-73093067,Active
VEN-1153,Cloverfield Holdings,2023-05-24,6300 · Contractors,BA-55330357,Active
VEN-1154,Cloverfield Logistics,2023-04-15,6210 · Software,BA-74780629,Active
VEN-1155,Cloverfield Materials,2021-12-04,6800 · Events,BA-91907998,Active
VEN-1156,Cloverfield Partners,2021-04-17,6900 · Miscellaneous,BA-10256129,Active
VEN-1157,Cloverfield Services,2022-05-28,6210 · Software,BA-97641229,Active
VEN-1158,Cloverfield Solutions,2022-06-28,6900 · Miscellaneous,BA-96319863,Active
VEN-1159,Cloverfield Supply,2023-06-23,6600 · Marketing,BA-98662305,Active
VEN-1160,Cloverfield Supply Co,2023-04-26,6210 · Software,BA-62148384,Active
VEN-1161,Cloverfield Trade Ltd,2021-05-26,6000 · Office,BA-36752197,Active
VEN-1162,Cloverfield Traders,2022-03-01,6400 · Travel,BA-33960779,Active
VEN-1163,Cloverfield Vendors,2023-02-07,6500 · Professional,BA-95341298,Active
VEN-1164,Cloverfield Ventures,2022-10-23,6900 · Miscellaneous,BA-21643368,Active
VEN-1165,Coastal Tech Supply,2021-06-26,6210 · Software,BA-63128543,Active
VEN-1166,Cobalt Advisory Partners,2024-10-29,6800 · Events,BA-63873226,Active
VEN-1167,Copperfield & Finch,2021-07-04,6210 · Software,BA-21397668,Active
VEN-1168,Copperfield & Sons,2021-12-25,6100 · Facilities,BA-31321298,Active
VEN-1169,Copperfield Advisory,2023-03-05,6800 · Events,BA-27050801,Active
VEN-1170,Copperfield Co,2023-06-16,6600 · Marketing,BA-30287103,Active
VEN-1171,Copperfield Consulting,2021-11-19,6500 · Professional,BA-72458740,Active
VEN-1172,Copperfield Contractors,2021-07-20,6600 · Marketing,BA-98027796,Active
VEN-1173,Copperfield Distribution,2023-02-22,6400 · Travel,BA-92083983,Active
VEN-1174,Copperfield Group,2021-03-22,6900 · Miscellaneous,BA-89976351,Active
VEN-1175,Copperfield Holdings,2022-03-09,6300 · Contractors,BA-98217056,Active
VEN-1176,Copperfield Logistics,2022-10-07,6710 · Equipment,BA-30926211,Active
VEN-1177,Copperfield Materials,2022-02-03,6000 · Office,BA-83589642,Active
VEN-1178,Copperfield Partners,2023-04-08,6210 · Software,BA-12871813,Active
VEN-1179,Copperfield Services,2023-08-05,6900 · Miscellaneous,BA-97197858,Active
VEN-1180,Copperfield Solutions,2023-03-30,6600 · Marketing,BA-80676511,Active
VEN-1181,Copperfield Supply,2021-06-29,6710 · Equipment,BA-28689916,Active
VEN-1182,Copperfield Supply Co,2022-03-29,6300 · Contractors,BA-36146343,Active
VEN-1183,Copperfield Trade Ltd,2021-05-22,6500 · Professional,BA-38325623,Active
VEN-1184,Copperfield Traders,2023-07-10,6600 · Marketing,BA-43800696,Active
VEN-1185,Copperfield Vendors,2023-06-11,6300 · Contractors,BA-49321318,Active
VEN-1186,Copperfield Ventures,2022-03-09,6300 · Contractors,BA-42284650,Active
VEN-1187,Copperline Equipment,2024-10-11,6500 · Professional,BA-44811353,Active
VEN-1188,Deerpath & Finch,2022-02-16,6800 · Events,BA-66238912,Active
VEN-1189,Deerpath & Sons,2021-05-14,6000 · Office,BA-27592411,Active
VEN-1190,Deerpath Advisory,2024-02-17,6210 · Software,BA-57484087,Active
VEN-1191,Deerpath Co,2022-04-07,6300 · Contractors,BA-98915866,Active
VEN-1192,Deerpath Consulting,2022-07-21,6400 · Travel,BA-79358465,Active
VEN-1193,Deerpath Contractors,2022-06-07,6300 · Contractors,BA-77330181,Active
VEN-1194,Deerpath Distribution,2023-03-03,6210 · Software,BA-81380338,Active
VEN-1195,Deerpath Group,2023-01-27,6900 · Miscellaneous,BA-80263864,Active
VEN-1196,Deerpath Holdings,2022-01-24,6000 · Office,BA-12510524,Active
VEN-1197,Deerpath Logistics,2021-01-19,6800 · Events,BA-69072565,Active
VEN-1198,Deerpath Materials,2021-04-29,6710 · Equipment,BA-34576324,Active
VEN-1199,Deerpath Partners,2021-11-29,6500 · Professional,BA-10527808,Active
VEN-1200,Deerpath Services,2021-05-05,6300 · Contractors,BA-30106149,Active
VEN-1201,Deerpath Solutions,2023-01-06,6400 · Travel,BA-28999723,Active
VEN-1202,Deerpath Supply,2022-02-18,6210 · Software,BA-93094361,Active
VEN-1203,Deerpath Supply Co,2021-07-08,6500 · Professional,BA-26151306,Active
VEN-1204,Deerpath Trade Ltd,2022-09-01,6400 · Travel,BA-18288654,Active
VEN-1205,Deerpath Traders,2022-09-06,6500 · Professional,BA-79571586,Active
VEN-1206,Deerpath Vendors,2022-01-05,6800 · Events,BA-84550146,Active
VEN-1207,Deerpath Ventures,2022-03-09,6600 · Marketing,BA-24241764,Active
VEN-1208,Drift Marketing Co,2021-11-27,6600 · Marketing,BA-17626596,Active
VEN-1209,Driftwood & Finch,2022-11-09,6500 · Professional,BA-35676674,Active
VEN-1210,Driftwood & Sons,2022-11-23,6800 · Events,BA-15663839,Active
VEN-1211,Driftwood Advisory,2021-05-31,6400 · Travel,BA-23119148,Active
VEN-1212,Driftwood Co,2022-01-28,6710 · Equipment,BA-70690025,Active
VEN-1213,Driftwood Consulting,2022-02-16,6900 · Miscellaneous,BA-13740078,Active
VEN-1214,Driftwood Contractors,2021-05-19,6100 · Facilities,BA-18505221,Active
VEN-1215,Driftwood Distribution,2022-05-03,6400 · Travel,BA-53703122,Active
VEN-1216,Driftwood Group,2022-02-17,6500 · Professional,BA-77854192,Active
VEN-1217,Driftwood Holdings,2021-12-08,6710 · Equipment,BA-78741149,Active
VEN-1218,Driftwood Logistics,2023-02-23,6300 · Contractors,BA-47203213,Active
VEN-1219,Driftwood Materials,2022-06-03,6800 · Events,BA-78203564,Active
VEN-1220,Driftwood Partners,2022-03-07,6500 · Professional,BA-74160948,Active
VEN-1221,Driftwood Services,2022-02-03,6000 · Office,BA-43239798,Active
VEN-1222,Driftwood Solutions,2022-04-06,6210 · Software,BA-80224010,Active
VEN-1223,Driftwood Supply,2021-05-01,6900 · Miscellaneous,BA-44841887,Active
VEN-1224,Driftwood Supply Co,2022-01-12,6900 · Miscellaneous,BA-37190971,Active
VEN-1225,Driftwood Trade Ltd,2021-10-15,6000 · Office,BA-70066221,Active
VEN-1226,Driftwood Traders,2023-03-02,6000 · Office,BA-65920079,Active
VEN-1227,Driftwood Vendors,2023-04-12,6710 · Equipment,BA-62662255,Active
VEN-1228,Driftwood Ventures,2022-05-16,6400 · Travel,BA-52410090,Active
VEN-1229,Dunmore & Finch,2023-05-04,6000 · Office,BA-42297987,Active
VEN-1230,Dunmore & Sons,2022-08-17,6500 · Professional,BA-19814103,Active
VEN-1231,Dunmore Advisory,2022-12-17,6710 · Equipment,BA-99855030,Active
VEN-1232,Dunmore Co,2022-09-06,6100 · Facilities,BA-26421523,Active
VEN-1233,Dunmore Consulting,2021-04-28,6300 · Contractors,BA-30729474,Active
VEN-1234,Dunmore Contractors,2021-06-13,6400 · Travel,BA-96363470,Active
VEN-1235,Dunmore Group,2022-01-27,6900 · Miscellaneous,BA-59148289,Active
VEN-1236,Dunmore Holdings,2023-02-24,6000 · Office,BA-43971558,Active
VEN-1237,Dunmore Logistics,2023-04-23,6300 · Contractors,BA-72778440,Active
VEN-1238,Dunmore Materials,2022-11-06,6800 · Events,BA-22633303,Active
VEN-1239,Dunmore Partners,2022-10-19,6400 · Travel,BA-75399034,Active
VEN-1240,Dunmore Services,2023-04-04,6400 · Travel,BA-99635023,Active
VEN-1241,Dunmore Solutions,2021-02-27,6100 · Facilities,BA-40026139,Active
VEN-1242,Dunmore Supply,2023-06-27,6600 · Marketing,BA-67917877,Active
VEN-1243,Dunmore Supply Co,2022-03-12,6210 · Software,BA-64198427,Active
VEN-1244,Dunmore Trade Ltd,2022-08-21,6210 · Software,BA-66542771,Active
VEN-1245,Dunmore Traders,2023-03-06,6500 · Professional,BA-57864027,Active
VEN-1246,Dunmore Vendors,2022-11-17,6100 · Facilities,BA-22374072,Active
VEN-1247,Dunmore Ventures,2021-10-21,6000 · Office,BA-59117315,Active
VEN-1248,Eastmoor & Finch,2023-07-08,6000 · Office,BA-55362865,Active
VEN-1249,Eastmoor & Sons,2022-01-30,6210 · Software,BA-71561748,Active
VEN-1250,Eastmoor Advisory,2022-04-11,6800 · Events,BA-12426922,Active
VEN-1251,Eastmoor Co,2022-05-27,6300 · Contractors,BA-54492893,Active
VEN-1252,Eastmoor Consulting,2022-06-26,6210 · Software,BA-93742074,Active
VEN-1253,Eastmoor Contractors,2023-04-05,6210 · Software,BA-78754679,Active
VEN-1254,Eastmoor Distribution,2023-10-25,6900 · Miscellaneous,BA-25146464,Active
VEN-1255,Eastmoor Group,2021-12-11,6900 · Miscellaneous,BA-40675978,Active
VEN-1256,Eastmoor Holdings,2021-02-19,6300 · Contractors,BA-24063279,Active
VEN-1257,Eastmoor Logistics,2023-04-28,6000 · Office,BA-45643433,Active
VEN-1258,Eastmoor Materials,2023-05-02,6210 · Software,BA-15313436,Active
VEN-1259,Eastmoor Partners,2021-05-25,6900 · Miscellaneous,BA-34367415,Active
VEN-1260,Eastmoor Services,2022-10-20,6000 · Office,BA-27388652,Active
VEN-1261,Eastmoor Solutions,2021-05-04,6210 · Software,BA-66673996,Active
VEN-1262,Eastmoor Supply,2021-02-17,6210 · Software,BA-44709914,Active
VEN-1263,Eastmoor Supply Co,2022-09-15,6400 · Travel,BA-30047826,Active
VEN-1264,Eastmoor Trade Ltd,2022-02-07,6300 · Contractors,BA-79092953,Active
VEN-1265,Eastmoor Traders,2021-11-18,6900 · Miscellaneous,BA-76385704,Active
VEN-1266,Eastmoor Vendors,2021-09-10,6000 · Office,BA-53895707,Active
VEN-1267,Eastmoor Ventures,2023-07-22,6210 · Software,BA-47455108,Active
VEN-1268,Elderglen Supply Co,2024-01-16,6400 · Travel,BA-34608019,Active
VEN-1269,Elmgate & Finch,2022-10-21,6210 · Software,BA-19719255,Active
VEN-1270,Elmgate & Sons,2022-11-24,6400 · Travel,BA-12259115,Active
VEN-1271,Elmgate Advisory,2021-12-25,6500 · Professional,BA-21887116,Active
VEN-1272,Elmgate Co,2021-04-23,6710 · Equipment,BA-44970682,Active
VEN-1273,Elmgate Consulting,2023-04-19,6210 · Software,BA-91628191,Active
VEN-1274,Elmgate Distribution,2021-04-24,6300 · Contractors,BA-39851095,Active
VEN-1275,Elmgate Group,2023-04-16,6600 · Marketing,BA-45494011,Active
VEN-1276,Elmgate Logistics,2021-04-29,6900 · Miscellaneous,BA-26331285,Active
VEN-1277,Elmgate Materials,2022-05-07,6710 · Equipment,BA-11549722,Active
VEN-1278,Elmgate Partners,2023-01-10,6900 · Miscellaneous,BA-84231009,Active
VEN-1279,Elmgate Services,2022-04-16,6900 · Miscellaneous,BA-45951526,Active
VEN-1280,Elmgate Solutions,2021-10-18,6300 · Contractors,BA-27344259,Active
VEN-1281,Elmgate Supply,2023-05-10,6400 · Travel,BA-80721337,Active
VEN-1282,Elmgate Supply Co,2021-07-28,6300 · Contractors,BA-42002360,Active
VEN-1283,Elmgate Trade Ltd,2023-04-07,6210 · Software,BA-31669330,Active
VEN-1284,Elmgate Traders,2022-10-06,6500 · Professional,BA-16761851,Active
VEN-1285,Elmgate Vendors,2023-05-25,6300 · Contractors,BA-37080875,Active
VEN-1286,Elmgate Ventures,2022-09-28,6400 · Travel,BA-94378806,Active
VEN-1287,Everline & Finch,2022-08-31,6300 · Contractors,BA-81281134,Active
VEN-1288,Everline & Sons,2021-10-02,6300 · Contractors,BA-37631611,Active
VEN-1289,Everline Advisory,2022-08-26,6900 · Miscellaneous,BA-69819079,Active
VEN-1290,Everline Co,2022-08-19,6710 · Equipment,BA-33877318,Active
VEN-1291,Everline Consulting,2022-11-08,6600 · Marketing,BA-56573688,Active
VEN-1292,Everline Contractors,2021-04-19,6710 · Equipment,BA-12437810,Active
VEN-1293,Everline Distribution,2023-03-09,6210 · Software,BA-14959258,Active
VEN-1294,Everline Group,2023-07-02,6500 · Professional,BA-12474155,Active
VEN-1295,Everline Holdings,2021-05-29,6300 · Contractors,BA-77867728,Active
VEN-1296,Everline Logistics,2022-01-20,6300 · Contractors,BA-35428420,Active
VEN-1297,Everline Materials,2022-04-30,6900 · Miscellaneous,BA-73721294,Active
VEN-1298,Everline Partners,2022-11-05,6500 · Professional,BA-70002780,Active
VEN-1299,Everline Services,2023-09-18,6100 · Facilities,BA-98358257,Active
VEN-1300,Everline Solutions,2021-04-19,6800 · Events,BA-97255749,Active
VEN-1301,Everline Supply,2022-05-07,6500 · Professional,BA-98115205,Active
VEN-1302,Everline Supply Co,2022-05-05,6710 · Equipment,BA-83270296,Active
VEN-1303,Everline Trade Ltd,2021-02-15,6710 · Equipment,BA-62759119,Active
VEN-1304,Everline Traders,2022-07-10,6500 · Professional,BA-51309941,Active
VEN-1305,Everline Vendors,2021-07-26,6600 · Marketing,BA-38881120,Active
VEN-1306,Everline Ventures,2022-10-31,6100 · Facilities,BA-55997036,Active
VEN-1307,Fairhaven & Finch,2023-06-23,6800 · Events,BA-95359381,Active
VEN-1308,Fairhaven & Sons,2023-08-28,6710 · Equipment,BA-64317606,Active
VEN-1309,Fairhaven Advisory,2022-08-15,6210 · Software,BA-17299905,Active
VEN-1310,Fairhaven Co,2021-03-26,6900 · Miscellaneous,BA-27423955,Active
VEN-1311,Fairhaven Consulting,2023-07-17,6100 · Facilities,BA-19492255,Active
VEN-1312,Fairhaven Contractors,2022-02-18,6800 · Events,BA-44305229,Active
VEN-1313,Fairhaven Distribution,2022-04-08,6600 · Marketing,BA-31910577,Active
VEN-1314,Fairhaven Holdings,2023-07-27,6900 · Miscellaneous,BA-21339367,Active
VEN-1315,Fairhaven Logistics,2021-10-06,6900 · Miscellaneous,BA-61121087,Active
VEN-1316,Fairhaven Materials,2021-02-11,6100 · Facilities,BA-77906507,Active
VEN-1317,Fairhaven Partners,2021-09-25,6900 · Miscellaneous,BA-47840444,Active
VEN-1318,Fairhaven Services,2021-11-08,6900 · Miscellaneous,BA-42509269,Active
VEN-1319,Fairhaven Solutions,2021-09-15,6900 · Miscellaneous,BA-49333645,Active
VEN-1320,Fairhaven Supply,2023-07-02,6300 · Contractors,BA-71666730,Active
VEN-1321,Fairhaven Supply Co,2023-06-11,6300 · Contractors,BA-31143713,Active
VEN-1322,Fairhaven Trade Ltd,2022-11-01,6300 · Contractors,BA-69837566,Active
VEN-1323,Fairhaven Traders,2023-06-16,6000 · Office,BA-45331886,Active
VEN-1324,Fairhaven Vendors,2022-10-20,6000 · Office,BA-54147722,Active
VEN-1325,Fairhaven Ventures,2022-01-08,6710 · Equipment,BA-53423984,Active
VEN-1326,Farrow & West Consulting,2023-08-29,6710 · Equipment,BA-14623360,Active
VEN-1327,Ferncliff & Finch,2023-01-21,6900 · Miscellaneous,BA-39241460,Active
VEN-1328,Ferncliff & Sons,2022-12-11,6000 · Office,BA-34556192,Active
