invoice_id,invoice_number,vendor_id,gl_transaction_id,invoice_date,amount
INV-3135,B-4003,VEN-2200,GL-3135,2024-01-10,657.41
INV-3136,INV-4003,VEN-1109,GL-3136,2024-01-10,2595.59
INV-3137,A-4003,VEN-1708,GL-3137,2024-01-10,3566.08
INV-3138,INV-4003,VEN-1401,GL-3138,2024-01-10,1121.76
INV-3139,B-4003,VEN-1251,GL-3139,2024-01-10,5039.72
INV-3140,B-4003,VEN-2089,GL-3140,2024-01-10,5070.16
INV-3141,N-4003,VEN-1764,GL-3141,2024-01-10,792.07
INV-3142,A-4003,VEN-2148,GL-3142,2024-01-10,437.12
INV-3143,R-4006,VEN-1289,GL-3143,2024-01-10,2743.89
INV-3144,N-4006,VEN-1146,GL-3144,2024-01-10,729.45
INV-3145,A-4003,VEN-1532,GL-3145,2024-01-10,2461.73
INV-3146,N-4006,VEN-1939,GL-3146,2024-01-10,25095.54
INV-3147,A-4003,VEN-1960,GL-3147,2024-01-11,5512.13
INV-3148,A-4003,VEN-2168,GL-3148,2024-01-11,1543.1
INV-3149,R-4003,VEN-1999,GL-3149,2024-01-11,2296.8
INV-3150,INV-4003,VEN-1784,GL-3150,2024-01-11,1543.44
INV-3151,N-4003,VEN-2104,GL-3151,2024-01-11,7648.88
INV-3152,N-4003,VEN-1103,GL-3152,2024-01-11,3902.22
INV-3153,A-4003,VEN-1434,GL-3153,2024-01-11,1719.96
INV-3154,R-4003,VEN-1520,GL-3154,2024-01-11,3916.71
INV-3155,INV-4006,VEN-1109,GL-3155,2024-01-11,2172.06
INV-3156,N-4003,VEN-1972,GL-3156,2024-01-11,9651.33
INV-3157,A-4003,VEN-1825,GL-3157,2024-01-11,908.86
INV-3158,A-4003,VEN-1823,GL-3158,2024-01-11,3527.85
INV-3159,INV-4003,VEN-1772,GL-3159,2024-01-11,6704.08
INV-3160,R-4006,VEN-1778,GL-3160,2024-01-11,10277.7
INV-3161,INV-4003,VEN-1265,GL-3161,2024-01-11,3139.0
INV-3162,R-4003,VEN-1023,GL-3162,2024-01-11,1220.95
INV-3163,B-4003,VEN-1488,GL-3163,2024-01-11,3631.81
INV-3164,N-4009,VEN-1939,GL-3164,2024-01-12,624.42
INV-3165,A-4003,VEN-1055,GL-3165,2024-01-12,4663.21
INV-3166,R-4003,VEN-2079,GL-3166,2024-01-12,6602.49
INV-3167,INV-4006,VEN-1643,GL-3167,2024-01-12,3125.71
INV-3168,N-4003,VEN-2239,GL-3168,2024-01-12,2525.18
INV-3169,B-4003,VEN-1976,GL-3169,2024-01-12,968.92
INV-3170,N-4003,VEN-1003,GL-3170,2024-01-12,1814.87
INV-3171,B-4003,VEN-2150,GL-3171,2024-01-12,2686.02
INV-3172,INV-4003,VEN-1683,GL-3172,2024-01-12,4182.23
INV-3173,A-4006,VEN-1275,GL-3173,2024-01-15,4790.46
INV-3174,B-4003,VEN-2138,GL-3174,2024-01-15,4690.61
INV-3175,B-4003,VEN-2033,GL-3175,2024-01-15,822.79
INV-3176,B-4003,VEN-1096,GL-3176,2024-01-15,8506.64
INV-3177,A-4003,VEN-1985,GL-3177,2024-01-15,6759.59
INV-3178,INV-4003,VEN-2009,GL-3178,2024-01-15,3271.41
INV-3179,INV-4003,VEN-2147,GL-3179,2024-01-15,2976.77
INV-3180,A-4003,VEN-1578,GL-3180,2024-01-15,10504.08
INV-3181,R-4003,VEN-1092,GL-3181,2024-01-15,4747.65
INV-3182,A-4003,VEN-1394,GL-3182,2024-01-15,2281.76
INV-3183,A-4003,VEN-1988,GL-3183,2024-01-15,5726.53
INV-3184,INV-4003,VEN-1241,GL-3184,2024-01-15,1193.68
INV-3185,R-4003,VEN-1373,GL-3185,2024-01-15,2098.64
INV-3186,N-4003,VEN-2171,GL-3186,2024-01-15,2077.66
INV-3187,INV-4006,VEN-1202,GL-3187,2024-01-15,2067.23
INV-3188,A-4003,VEN-1546,GL-3188,2024-01-15,4981.76
INV-3189,A-4003,VEN-1605,GL-3189,2024-01-15,3028.07
INV-3190,B-4003,VEN-2052,GL-3190,2024-01-15,1695.64
INV-3191,INV-4003,VEN-1418,GL-3191,2024-01-15,2817.58
INV-3192,A-4003,VEN-1556,GL-3192,2024-01-15,2756.36
INV-3193,B-4003,VEN-1014,GL-3193,2024-01-16,1591.11
INV-3194,INV-4003,VEN-1512,GL-3194,2024-01-16,4282.0
INV-3195,R-4003,VEN-2050,GL-3195,2024-01-16,639.74
INV-3196,R-4003,VEN-1120,GL-3196,2024-01-16,4445.72
INV-3197,N-4003,VEN-1397,GL-3197,2024-01-16,8943.19
INV-3198,A-4003,VEN-1834,GL-3198,2024-01-16,1640.92
INV-3199,N-4003,VEN-1196,GL-3199,2024-01-16,2187.84
INV-3200,INV-4003,VEN-1734,GL-3200,2024-01-16,5196.99
INV-3201,INV-4003,VEN-1634,GL-3201,2024-01-16,2144.28
INV-3202,INV-4003,VEN-1149,GL-3202,2024-01-16,1536.05
INV-3203,N-4003,VEN-1549,GL-3203,2024-01-16,4049.86
INV-3204,A-4003,VEN-1951,GL-3204,2024-01-16,1169.67
INV-3205,INV-4003,VEN-1305,GL-3205,2024-01-16,4239.01
INV-3206,N-4003,VEN-1099,GL-3206,2024-01-16,3341.36
INV-3207,N-4003,VEN-1408,GL-3207,2024-01-16,4577.05
INV-3208,B-4003,VEN-1729,GL-3208,2024-01-16,1401.33
INV-3209,N-4003,VEN-1448,GL-3209,2024-01-16,2065.83
INV-3210,B-4003,VEN-1573,GL-3210,2024-01-16,1720.12
INV-3211,B-4003,VEN-1837,GL-3211,2024-01-16,1480.88
INV-3212,R-4006,VEN-1817,GL-3212,2024-01-17,8889.86
INV-3213,A-4003,VEN-1197,GL-3213,2024-01-17,4213.81
INV-3214,N-4003,VEN-1195,GL-3214,2024-01-17,1838.31
INV-3215,B-4003,VEN-1622,GL-3215,2024-01-17,4879.38
INV-3216,A-4003,VEN-1421,GL-3216,2024-01-17,3234.6
INV-3217,R-4006,VEN-2059,GL-3217,2024-01-17,4291.46
INV-3218,B-4003,VEN-1413,GL-3218,2024-01-17,2625.15
INV-3219,B-4003,VEN-1907,GL-3219,2024-01-17,3262.56
INV-3220,A-4003,VEN-1753,GL-3220,2024-01-17,1790.19
INV-3221,R-4003,VEN-1821,GL-3221,2024-01-17,4962.2
INV-3222,INV-4003,VEN-1212,GL-3222,2024-01-17,3382.07
INV-3223,B-4003,VEN-1913,GL-3223,2024-01-17,325.82
INV-3224,N-4003,VEN-1765,GL-3224,2024-01-17,3786.89
INV-3225,A-4003,VEN-1986,GL-3225,2024-01-17,2431.26
INV-3226,N-4003,VEN-1201,GL-3226,2024-01-17,192.98
INV-3227,A-4003,VEN-2087,GL-3227,2024-01-17,1719.86
INV-3228,A-4003,VEN-1657,GL-3228,2024-01-17,4659.59
INV-3229,N-4003,VEN-1284,GL-3229,2024-01-17,5614.84
INV-3230,INV-4003,VEN-1722,GL-3230,2024-01-17,3016.2
INV-3231,INV-4003,VEN-1375,GL-3231,2024-01-17,4272.41
INV-3232,B-4003,VEN-1502,GL-3232,2024-01-17,1746.71
INV-3233,N-4003,VEN-1123,GL-3233,2024-01-18,5978.8
INV-3234,A-4003,VEN-1391,GL-3234,2024-01-18,3100.44
INV-3235,INV-4003,VEN-2129,GL-3235,2024-01-18,801.84
INV-3236,B-4003,VEN-1563,GL-3236,2024-01-18,4412.41
INV-3237,INV-4003,VEN-1602,GL-3237,2024-01-18,1941.01
INV-3238,B-4003,VEN-1536,GL-3238,2024-01-18,4615.96
INV-3239,INV-4006,VEN-1858,GL-3239,2024-01-18,1039.91
INV-3240,A-4003,VEN-2226,GL-3240,2024-01-18,2100.25
INV-3241,B-4003,VEN-1206,GL-3241,2024-01-18,321.19
INV-3242,N-4003,VEN-2231,GL-3242,2024-01-18,4110.47
INV-3243,R-4003,VEN-2230,GL-3243,2024-01-18,1784.47
INV-3244,B-4003,VEN-1094,GL-3244,2024-01-18,1906.16
INV-3245,N-4003,VEN-1684,GL-3245,2024-01-18,2941.74
INV-3246,B-4003,VEN-1543,GL-3246,2024-01-18,2741.6
INV-3247,INV-4003,VEN-1965,GL-3247,2024-01-18,8603.35
INV-3248,B-4006,VEN-1206,GL-3248,2024-01-18,4484.67
INV-3249,N-4003,VEN-1233,GL-3249,2024-01-18,7658.85
INV-3250,N-4003,VEN-1007,GL-3250,2024-01-18,4406.06
INV-3251,B-4003,VEN-1330,GL-3251,2024-01-18,1338.8
INV-3252,B-4003,VEN-1586,GL-3252,2024-01-18,4587.79
INV-3253,A-4003,VEN-1889,GL-3253,2024-01-18,1834.07
INV-3254,INV-4003,VEN-1498,GL-3254,2024-01-18,4764.17
INV-3255,R-4003,VEN-1420,GL-3255,2024-01-19,1654.48
INV-3256,INV-4003,VEN-1399,GL-3256,2024-01-19,3154.37
INV-3257,INV-4003,VEN-1874,GL-3257,2024-01-19,2404.94
INV-3258,B-4003,VEN-2209,GL-3258,2024-01-19,3165.59
INV-3259,INV-4003,VEN-1558,GL-3259,2024-01-19,789.29
INV-3260,N-4003,VEN-1850,GL-3260,2024-01-19,3941.77
INV-3261,B-4006,VEN-2209,GL-3261,2024-01-19,3571.96
INV-3262,A-4003,VEN-1162,GL-3262,2024-01-19,2237.4
INV-3263,INV-4003,VEN-1597,GL-3263,2024-01-19,2493.63
INV-3264,A-4006,VEN-1889,GL-3264,2024-01-19,2529.68
INV-3265,N-4003,VEN-1017,GL-3265,2024-01-19,574.62
INV-3266,N-4003,VEN-1669,GL-3266,2024-01-19,453.55
INV-3267,A-4003,VEN-1649,GL-3267,2024-01-19,1977.16
INV-3268,B-4003,VEN-1105,GL-3268,2024-01-19,10025.03
INV-3269,R-4003,VEN-1198,GL-3269,2024-01-19,5639.01
INV-3270,A-4003,VEN-2101,GL-3270,2024-01-19,2263.26
INV-3271,N-4006,VEN-1234,GL-3271,2024-01-19,2602.61
INV-3272,B-4003,VEN-1906,GL-3272,2024-01-19,4424.87
INV-3273,N-4006,VEN-1196,GL-3273,2024-01-19,629.59
INV-3274,R-4003,VEN-1863,GL-3274,2024-01-19,2503.86
INV-3275,A-4006,VEN-2102,GL-3275,2024-01-19,4060.18
INV-3276,R-4009,VEN-1817,GL-3276,2024-01-22,8112.43
INV-3277,N-4003,VEN-2167,GL-3277,2024-01-22,2437.44
INV-3278,INV-4003,VEN-1250,GL-3278,2024-01-22,3763.09
INV-3279,A-4003,VEN-1032,GL-3279,2024-01-22,2671.23
INV-3280,INV-4003,VEN-1262,GL-3280,2024-01-22,4156.91
INV-3281,B-4003,VEN-1792,GL-3281,2024-01-22,6503.08
INV-3282,INV-4003,VEN-1677,GL-3282,2024-01-22,3212.56
INV-3283,B-4006,VEN-1105,GL-3283,2024-01-22,7538.95
INV-3284,N-4003,VEN-1653,GL-3284,2024-01-22,1034.48
INV-3285,B-4006,VEN-1646,GL-3285,2024-01-22,3835.41
INV-3286,B-4006,VEN-2227,GL-3286,2024-01-22,5434.35
INV-3287,INV-4003,VEN-1712,GL-3287,2024-01-22,1791.08
INV-3288,R-4006,VEN-1023,GL-3288,2024-01-22,2962.05
INV-3289,B-4003,VEN-1668,GL-3289,2024-01-22,449.45
INV-3290,B-4003,VEN-1051,GL-3290,2024-01-22,258.12
INV-3291,A-4003,VEN-1752,GL-3291,2024-01-22,5243.45
INV-3292,N-4003,VEN-2090,GL-3292,2024-01-22,2141.92
INV-3293,INV-4003,VEN-1214,GL-3293,2024-01-22,5276.38
INV-3294,N-4003,VEN-1538,GL-3294,2024-01-22,564.85
INV-3295,B-4003,VEN-1927,GL-3295,2024-01-22,3146.38
INV-3296,A-4003,VEN-1340,GL-3296,2024-01-22,5329.63
INV-3297,INV-4003,VEN-1070,GL-3297,2024-01-23,6738.62
INV-3298,B-4003,VEN-2075,GL-3298,2024-01-23,4633.02
INV-3299,A-4003,VEN-1836,GL-3299,2024-01-23,1147.51
INV-3300,N-4003,VEN-1367,GL-3300,2024-01-23,6493.94
INV-3301,B-4006,VEN-1907,GL-3301,2024-01-23,3147.9
INV-3302,R-4003,VEN-1964,GL-3302,2024-01-23,2763.14
INV-3303,N-4006,VEN-1408,GL-3303,2024-01-23,4403.3
INV-3304,INV-4003,VEN-1335,GL-3304,2024-01-23,1663.07
INV-3305,R-4003,VEN-1679,GL-3305,2024-01-23,687.05
INV-3306,B-4003,VEN-1119,GL-3306,2024-01-23,6354.94
INV-3307,INV-4006,VEN-1634,GL-3307,2024-01-23,601.25
INV-3308,N-4003,VEN-1175,GL-3308,2024-01-23,6934.6
INV-3309,A-4003,VEN-1221,GL-3309,2024-01-23,955.12
INV-3310,R-4003,VEN-1062,GL-3310,2024-01-23,1484.95
INV-3311,INV-4003,VEN-1115,GL-3311,2024-01-23,2737.7
INV-3312,B-4003,VEN-1917,GL-3312,2024-01-23,2037.21
INV-3313,INV-4003,VEN-1060,GL-3313,2024-01-23,15470.31
INV-3314,N-4003,VEN-1736,GL-3314,2024-01-24,1591.53
INV-3315,B-4006,VEN-2075,GL-3315,2024-01-24,1815.15
INV-3316,A-4003,VEN-1847,GL-3316,2024-01-24,5201.85
INV-3317,N-4003,VEN-1010,GL-3317,2024-01-24,2418.72
INV-3318,B-4003,VEN-2205,GL-3318,2024-01-24,1507.58
INV-3319,INV-4003,VEN-1733,GL-3319,2024-01-24,1231.62
INV-3320,R-4003,VEN-2123,GL-3320,2024-01-24,3762.77
INV-3321,B-4003,VEN-1892,GL-3321,2024-01-24,3114.74
INV-3322,B-4003,VEN-1419,GL-3322,2024-01-24,1918.32
INV-3323,B-4006,VEN-1917,GL-3323,2024-01-24,3716.3
INV-3324,B-4003,VEN-1200,GL-3324,2024-01-24,11526.89
INV-3325,B-4006,VEN-1586,GL-3325,2024-01-24,4683.54
INV-3326,R-4003,VEN-1953,GL-3326,2024-01-24,2653.5
INV-3327,N-4006,VEN-1757,GL-3327,2024-01-24,3029.55
INV-3328,B-4003,VEN-2124,GL-3328,2024-01-24,2633.67
INV-3329,B-4003,VEN-1077,GL-3329,2024-01-24,4718.73
INV-3330,B-4003,VEN-1709,GL-3330,2024-01-24,4894.05
INV-3331,N-4006,VEN-1349,GL-3331,2024-01-25,3456.37
INV-3332,R-4003,VEN-1819,GL-3332,2024-01-25,6344.75
INV-3333,A-4003,VEN-1372,GL-3333,2024-01-25,6255.55
INV-3334,A-4003,VEN-2063,GL-3334,2024-01-25,4372.56
INV-3335,R-4003,VEN-1805,GL-3335,2024-01-25,11768.05
INV-3336,N-4003,VEN-1287,GL-3336,2024-01-25,4192.79
INV-3337,INV-4003,VEN-1640,GL-3337,2024-01-25,2274.05
INV-3338,B-4003,VEN-1113,GL-3338,2024-01-25,913.44
INV-3339,B-4003,VEN-1610,GL-3339,2024-01-25,5301.92
INV-3340,B-4003,VEN-1900,GL-3340,2024-01-25,3567.82
INV-3341,R-4003,VEN-1581,GL-3341,2024-01-25,9493.89
INV-3342,B-4003,VEN-1666,GL-3342,2024-01-25,1222.77
INV-3343,R-4003,VEN-1026,GL-3343,2024-01-25,1481.51
INV-3344,INV-4003,VEN-2220,GL-3344,2024-01-25,4747.47
INV-3345,INV-4009,VEN-1202,GL-3345,2024-01-25,5854.14
INV-3346,INV-4006,VEN-1756,GL-3346,2024-01-25,15301.9
INV-3347,B-4003,VEN-2170,GL-3347,2024-01-26,831.17
INV-3348,A-4003,VEN-1707,GL-3348,2024-01-26,10075.73
INV-3349,A-4003,VEN-1691,GL-3349,2024-01-26,11372.07
INV-3350,R-4003,VEN-1877,GL-3350,2024-01-26,1846.83
INV-3351,N-4003,VEN-1949,GL-3351,2024-01-26,3497.95
INV-3352,A-4003,VEN-1073,GL-3352,2024-01-26,6911.72
INV-3353,R-4003,VEN-1854,GL-3353,2024-01-26,2091.75
INV-3354,INV-4003,VEN-2094,GL-3354,2024-01-26,8969.79
INV-3355,INV-4003,VEN-1331,GL-3355,2024-01-26,881.66
INV-3356,INV-4003,VEN-1076,GL-3356,2024-01-26,252.62
INV-3357,N-4003,VEN-1138,GL-3357,2024-01-26,679.33
INV-3358,A-4003,VEN-1619,GL-3358,2024-01-26,5790.12
INV-3359,A-4003,VEN-1591,GL-3359,2024-01-26,2024.67
INV-3360,R-4006,VEN-1303,GL-3360,2024-01-26,2826.91
INV-3361,R-4006,VEN-1025,GL-3361,2024-01-26,2225.8
INV-3362,A-4006,VEN-1605,GL-3362,2024-01-26,5630.72
INV-3363,A-4006,VEN-1391,GL-3363,2024-01-29,2855.93
INV-3364,N-4003,VEN-2031,GL-3364,2024-01-29,5233.3
INV-3365,N-4003,VEN-1652,GL-3365,2024-01-29,6073.84
INV-3366,B-4003,VEN-1338,GL-3366,2024-01-29,341.78
INV-3367,INV-4003,VEN-1739,GL-3367,2024-01-29,2383.93
INV-3368,INV-4006,VEN-2094,GL-3368,2024-01-29,5837.78
INV-3369,B-4003,VEN-1232,GL-3369,2024-01-29,3435.91
INV-3370,B-4003,VEN-1180,GL-3370,2024-01-29,1812.97
INV-3371,R-4003,VEN-1273,GL-3371,2024-01-29,5276.52
INV-3372,INV-4003,VEN-1053,GL-3372,2024-01-29,504.96
INV-3373,A-4003,VEN-2131,GL-3373,2024-01-29,2693.62
INV-3374,A-4006,VEN-1836,GL-3374,2024-01-29,1325.24
INV-3375,A-4006,VEN-1691,GL-3375,2024-01-29,5146.7
INV-3376,INV-4012,VEN-1202,GL-3376,2024-01-29,2391.82
INV-3377,INV-4006,VEN-1677,GL-3377,2024-01-29,2901.89
INV-3378,INV-4006,VEN-2174,GL-3378,2024-01-29,1373.46
INV-3379,B-4009,VEN-1586,GL-3379,2024-01-29,6241.19
INV-3380,B-4003,VEN-2098,GL-3380,2024-01-29,2438.28
INV-3381,INV-4003,VEN-1508,GL-3381,2024-01-29,3579.12
INV-3382,R-4003,VEN-1604,GL-3382,2024-01-29,6293.53
INV-3383,R-4003,VEN-1915,GL-3383,2024-01-29,1824.6
INV-3384,INV-4006,VEN-1585,GL-3384,2024-01-29,2164.53
